timestamp,username,src_ip,action,auth_method,geo,device
2026-08-17T08:06:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-107
2026-08-17T08:21:00,a.green,10.10.20.21,success,MFA,US-NC,WS-138
2026-08-17T08:24:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-140
2026-08-17T08:25:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-120
2026-08-17T08:33:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-127
2026-08-17T08:37:00,svc_reports,10.10.30.12,success,service,US-NC,WS-105
2026-08-17T08:53:00,svc_reports,10.10.30.12,success,service,US-NC,WS-113
2026-08-17T09:02:00,a.green,10.10.20.21,success,MFA,US-NC,WS-121
2026-08-17T09:21:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-115
2026-08-17T09:30:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-106
2026-08-17T09:40:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-128
2026-08-17T10:03:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-123
2026-08-17T10:23:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-116
2026-08-17T10:25:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-118
2026-08-17T10:55:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-102
2026-08-17T11:03:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-136
2026-08-17T11:04:00,a.green,10.10.20.21,success,MFA,US-NC,WS-108
2026-08-17T11:08:00,a.green,10.10.20.21,success,MFA,US-NC,WS-126
2026-08-17T11:09:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-120
2026-08-17T11:15:00,svc_reports,10.10.30.12,success,service,US-NC,WS-129
2026-08-17T11:21:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-133
2026-08-17T11:26:00,svc_reports,10.10.30.12,success,service,US-NC,WS-107
2026-08-17T12:04:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-126
2026-08-17T12:17:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-133
2026-08-17T12:30:00,a.green,10.10.20.21,success,MFA,US-NC,WS-120
2026-08-17T12:35:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-104
2026-08-17T12:37:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-112
2026-08-17T12:51:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-134
2026-08-17T13:19:00,a.green,10.10.20.21,success,MFA,US-NC,WS-133
2026-08-17T13:27:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-139
2026-08-17T13:36:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-123
